ts,price,event,reason,zone_ts,zone_px,zone_dir,zone_dist,conf_tol,m15_atr,session_mult,h4_score,h1_score,ltf_score,regime,regime_mult,total_score,confidence_mult,risk_amt,qty,entry_exec
2026-07-21 15:10:00,29028.77,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00017496818368897368,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 15:15:00,29001.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0011087058726279393,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 15:20:00,29002.11,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0010932067224979796,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 15:25:00,28984.36,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0017045620887342866,,,,1.0,0.0,1.75,,,,,,,
2026-07-21 15:30:00,28983.21,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0017441710279552805,,,,1.0,0.0,1.75,,,,,,,
2026-07-21 15:35:00,28984.11,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0017131727276953612,,,,1.0,0.0,1.75,,,,,,,
2026-07-21 15:40:00,28983.86,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.001721783366656436,,,,1.0,0.0,1.75,,,,,,,
2026-07-21 15:45:00,29018.36,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0005335151900281211,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 15:50:00,29026.11,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.000266585382234804,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 15:55:00,29021.22,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00043500948031340595,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:00:00,29013.11,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0007143386082106907,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:05:00,29010.61,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0008004449978214382,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:10:00,29011.86,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0007573918030160645,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:15:00,29018.36,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0005335151900281211,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:20:00,29027.61,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0002149215484683555,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:25:00,29070.71,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0012695526084208807,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:30:00,29000.41,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0011517590674333129,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 16:35:00,29045.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.00041537722348229086,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 16:40:00,28999.16,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0011948122622386867,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 16:45:00,28997.16,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0012636973739272846,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 16:50:00,28996.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.001280918651849434,,,,1.0,0.0,1.5,,,,,,,
2026-07-21 16:55:00,29007.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0009020505375621452,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 17:00:00,28968.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.002236699576528731,,,,1.0,0.0,1.75,,,,,,,
2026-07-21 17:05:00,28934.41,zone_skip,tolerance,2026-07-21 00:00:00,29033.85,short,0.003424967753157046,0.0025,,,,,,,,,,,,
2026-07-21 17:10:00,28983.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0017286718778253209,,,,1.0,0.0,2.0,,,,,,,
2026-07-21 17:15:00,29011.16,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0007815015921070988,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 17:20:00,29003.66,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0010398207609393412,,,,1.0,0.0,1.0,,,,,,,
2026-07-21 17:25:00,29062.16,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0009750687559521493,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 17:30:00,29072.41,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.001328104953356214,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 17:35:00,29057.41,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0008114666156917292,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 17:40:00,29077.91,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0015175390104998584,,,,1.0,0.0,0.0,,,,,,,
2026-07-21 17:45:00,29081.41,zone_skip,score_h1,2026-07-21 00:00:00,29033.85,short,0.0016380879559549047,,,,1.0,0.0,0.0,,,,,,,
